area_id,country,n_obs,date_start,date_end,mean,std,min,max
100205,,10366,1998-01-01,2026-05-19,5401.83,471.16,1725.36,6154.75
1541,,10366,1998-01-01,2026-05-19,6616.26,749.61,5170.81,12083.08
1542,,10366,1998-01-01,2026-05-19,5758.89,1713.82,931.72,14787.98
1543,,10366,1998-01-01,2026-05-19,6437.22,199.41,5924.2,7006.68
1544,,10366,1998-01-01,2026-05-19,1924.51,1259.78,0.0,4559.54
1545,,10366,1998-01-01,2026-05-19,2251.2,1203.4,0.0,5251.34
1547,,10366,1998-01-01,2026-05-19,6617.71,2740.57,678.43,23167.51
1548,,10366,1998-01-01,2026-05-19,9333.18,4316.56,2598.35,40226.32
11808,,10366,1998-01-01,2026-05-19,11035.81,908.64,9787.35,12319.3
11842,,10366,1998-01-01,2026-05-19,10342.88,2258.85,4270.39,18602.69
28546,,10366,1998-01-01,2026-05-19,378.18,340.19,0.0,2488.16
1505,,10366,1998-01-01,2026-05-19,48.28,21.93,13.79,178.8
