area_id,lag_days,pearson_r,pearson_p,n_samples
11808,0,0.347066178281041,1.682640528869968e-256,9121
1505,7,0.3120971850689063,3.147532117228382e-205,9121
1547,60,0.2928439789889077,8.975780630484087e-180,9119
1543,0,0.27865366970881433,2.758423694268538e-162,9120
1541,60,0.1819632058149195,9.684785461336205e-69,9121
1545,60,0.16794541420945736,1.0976786277845184e-58,9121
1548,60,0.11227557192654102,5.6666568146548404e-27,9119
1542,60,0.0993407501657439,1.9128442015379794e-21,9121
28546,60,-0.027491609483143536,0.008650934110022868,9120
1544,60,-0.033477970968293046,0.0013851113393726325,9121
11842,60,-0.20769477204456016,1.9396450415295725e-89,9121
100205,60,-0.5548536774418017,0.0,9130
