lag_days,pearson_r_raw_lag,pearson_p_raw_lag,spearman_r_raw_lag,pearson_r_cumulative,pearson_p_cumulative,n_samples
0,-0.2678805238601547,7.283944098925139e-150,-0.42315856977700383,-0.2678805238601547,7.283944098925139e-150,9132
5,-0.24286810507661985,1.1751776437042584e-122,-0.3562646339435201,-0.2852561453569222,1.9626121363598888e-170,9127
10,-0.23262615477977575,2.3846140115405395e-112,-0.3297719558521541,-0.2721452553817646,1.2525970592842708e-154,9122
15,-0.21922604326437847,1.2394848682088902e-99,-0.29384842041814824,-0.24525848554745913,5.525539613977712e-125,9117
20,-0.20096843572606274,1.1562460033378977e-83,-0.26125520847124284,-0.21665417585563493,3.021020893401901e-97,9112
30,-0.16581852333175492,4.049464356134978e-57,-0.1931167215881345,-0.14599564678191027,1.5198194397201745e-44,9102
45,-0.11012299575461157,6.408374680896684e-26,-0.08585751166117495,-0.01471085836664569,0.16085354121787115,9087
60,-0.042440552294047196,5.263622320339622e-05,0.028888497050087298,0.11182888128803146,1.2169462843406809e-26,9072
75,0.02231899524396836,0.03366750160765157,0.12758889682896893,0.19876137028657095,2.33550860564277e-81,9057
90,0.08676472200534381,1.3986277285073046e-16,0.2180963397937765,0.23534016775759495,5.04905361969832e-114,9042
105,0.13954566627923126,1.7312644054691771e-40,0.2696252746919856,0.22568310000155592,1.3250668047133497e-104,9027
120,0.18253279811198622,2.312860083132964e-68,0.31093909543971004,0.17628326462363736,8.174268721739093e-64,9012
150,0.18154786329499115,2.0472566516994954e-67,0.3181986353886091,0.004036507419217516,0.7020891165308498,8982
180,0.12765881094220377,7.65450175334121e-34,0.2406733296962038,-0.21629077635642238,2.9912834973981607e-95,8952
