season,lookback_days,pearson_r,pearson_p,spearman_r,n_samples
dry,7,0.08666064578296367,4.204566251679042e-05,0.11249927657848835,2228
dry,14,0.06355928573276248,0.002686906346925441,0.06513471756217294,2228
dry,30,0.05546516013027105,0.008829239536558842,-0.016219419397764563,2228
dry,60,0.018010240791938116,0.3986921857952184,-0.1254539012930079,2198
wet,7,0.22277943883226234,1.3102901474748876e-35,0.2146092319268419,3050
wet,14,0.29203200350146435,4.9451989609603996e-61,0.22742153900965006,3050
wet,30,0.3321664023074182,1.8153188066081758e-79,0.21037217440320896,3050
wet,60,0.33412855776760975,1.9190054043030473e-80,0.18285710241159314,3050
transition,7,0.23652477313346604,8.773592753907704e-50,0.17184246428981656,3825
transition,14,0.2018103730726426,1.928935026077797e-36,0.09735771678951935,3825
transition,30,0.12081633839229404,6.523938379245636e-14,-0.025024583249350443,3825
transition,60,0.013313402753364647,0.410419375802594,-0.15351723306316944,3825
