dry_start,dry_end,duration_days,max_flood_pixels,total_flood_pixels,days_to_first_flood,n_flood_days,rain_after_7d,rain_after_14d
2000-01-01,2000-03-22,82,157.0,2115.0,2,34,9.274212,17.74316
2000-03-27,2000-03-31,5,157.0,1845.0,1,34,11.185366,31.030846
2000-11-18,2000-11-23,6,713.0,11532.0,1,42,6.4396315,7.1583047
2000-11-26,2000-12-21,26,713.0,12268.0,1,43,2.9034653,3.357255
2000-12-23,2001-02-12,52,144.0,924.0,3,33,2.5893033,4.010804
2001-02-14,2001-03-03,18,189.0,643.0,1,33,10.777516,21.253323
2001-11-23,2001-12-13,21,677.0,7917.0,1,43,1.9809486,2.4282265
2001-12-15,2002-01-05,22,1300.0,9404.0,1,40,2.3364623,3.483224
2002-01-07,2002-02-26,51,242.0,668.0,1,27,7.7555375,18.90689
2002-11-25,2002-12-04,10,12203.0,156363.0,1,45,6.1283846,13.9302025
2002-12-16,2003-01-19,35,4810.0,56951.0,1,45,2.5377803,4.065923
2003-01-21,2003-02-20,31,1630.0,9819.0,1,44,9.058713,13.413409
2003-03-01,2003-03-09,9,687.0,6252.0,1,43,7.5815506,14.998097
2003-12-02,2003-12-08,7,7495.0,91876.0,1,45,4.774258,5.661296
2003-12-10,2004-01-23,45,4924.0,46452.0,1,44,2.5254402,2.7363472
2004-01-25,2004-02-14,21,1744.0,19084.0,1,40,3.1797535,5.978135
2004-02-16,2004-02-28,13,1744.0,14744.0,1,38,5.0317254,5.925999
2004-03-06,2004-04-02,28,931.0,9633.0,1,45,28.527664,44.367058
2004-11-27,2004-12-23,27,7140.0,102457.0,1,44,1.8561656,1.9252417
2004-12-25,2005-02-25,63,1919.0,11650.0,1,43,4.6561527,10.917485
2005-03-01,2005-03-05,5,698.0,6699.0,1,42,9.74158,25.028297
2005-03-28,2005-04-04,8,1407.0,11568.0,1,42,11.989367,27.738398
2005-11-06,2005-11-11,6,8283.0,141700.0,1,45,2.9226775,6.869606
2005-11-13,2005-11-20,8,8786.0,156863.0,1,45,2.8071244,3.7646859
2005-11-22,2006-02-21,92,2276.0,16630.0,1,41,4.806674,7.3606215
2006-02-23,2006-03-06,12,1058.0,8279.0,1,35,9.919113,21.657007
2006-11-24,2006-11-30,7,26912.0,565399.0,1,44,8.825737,12.030646
2006-12-09,2007-02-22,76,6961.0,44228.0,1,44,3.9211075,4.019303
2007-02-26,2007-03-09,12,3307.0,22153.0,1,44,10.025518,13.611399
2007-03-17,2007-03-25,9,1353.0,12767.0,1,45,7.636498,13.913359
2007-03-29,2007-04-07,10,1353.0,10481.0,1,44,23.73071,34.479652
