start_date,end_date,duration
2000-01-01,2000-01-24,24
2000-01-26,2000-02-07,13
2000-02-10,2000-02-16,7
2000-02-19,2000-02-21,3
2000-02-23,2000-03-07,14
2000-03-09,2000-03-15,7
2000-03-22,2000-03-22,1
2000-03-28,2000-03-30,3
2000-11-21,2000-11-22,2
2000-11-30,2000-12-07,8
2000-12-09,2000-12-10,2
2000-12-12,2000-12-12,1
2000-12-14,2000-12-21,8
2000-12-26,2001-01-21,27
2001-01-24,2001-02-09,17
2001-02-16,2001-02-21,6
2001-02-23,2001-02-27,5
2001-11-24,2001-11-29,6
2001-12-04,2001-12-05,2
2001-12-07,2001-12-07,1
2001-12-09,2001-12-12,4
2001-12-15,2001-12-18,4
2001-12-20,2002-01-03,15
2002-01-08,2002-01-13,6
2002-01-15,2002-02-11,28
2002-02-13,2002-02-26,14
2002-03-22,2002-03-23,2
2002-04-24,2002-04-24,1
2002-12-01,2002-12-02,2
2002-12-22,2003-01-18,28
2003-01-22,2003-01-25,4
2003-01-30,2003-02-19,21
2003-02-24,2003-02-24,1
2003-03-05,2003-03-05,1
2003-04-01,2003-04-01,1
2003-11-19,2003-11-19,1
2003-12-03,2003-12-03,1
2003-12-11,2003-12-11,1
2003-12-14,2003-12-14,1
2003-12-16,2004-01-02,18
2004-01-04,2004-01-13,10
2004-01-17,2004-01-17,1
2004-01-25,2004-02-14,21
2004-02-18,2004-02-25,8
2004-03-01,2004-03-01,1
2004-03-04,2004-03-04,1
2004-03-08,2004-03-15,8
2004-03-20,2004-03-22,3
2004-03-24,2004-03-24,1
2004-03-29,2004-03-30,2
2004-11-28,2004-12-07,10
2004-12-13,2004-12-22,10
2004-12-25,2005-02-07,45
2005-02-10,2005-02-25,16
2005-03-01,2005-03-02,2
2005-03-04,2005-03-04,1
2005-03-07,2005-03-07,1
2005-03-29,2005-03-29,1
2005-03-31,2005-04-02,3
2005-04-21,2005-04-21,1
2005-11-09,2005-11-11,3
2005-11-14,2005-11-16,3
2005-11-23,2005-12-05,13
2005-12-08,2005-12-10,3
2005-12-13,2006-01-04,23
2006-01-06,2006-01-11,6
2006-01-15,2006-01-15,1
2006-01-17,2006-02-02,17
2006-02-04,2006-02-11,8
2006-02-15,2006-02-19,5
2006-02-24,2006-02-24,1
2006-02-26,2006-02-26,1
2006-03-01,2006-03-05,5
2006-11-26,2006-11-28,3
2006-11-30,2006-11-30,1
2006-12-09,2006-12-12,4
2006-12-16,2006-12-18,3
2006-12-21,2006-12-27,7
2006-12-29,2007-01-03,6
2007-01-05,2007-01-15,11
2007-01-17,2007-01-17,1
2007-01-19,2007-01-31,13
2007-02-02,2007-02-02,1
2007-02-07,2007-02-21,15
2007-02-24,2007-02-24,1
2007-02-27,2007-03-09,11
2007-03-12,2007-03-12,1
2007-03-18,2007-03-18,1
2007-03-20,2007-03-21,2
2007-03-24,2007-03-25,2
2007-03-31,2007-04-02,3
2007-11-20,2007-11-22,3
2007-11-26,2007-12-02,7
2007-12-05,2007-12-06,2
2007-12-10,2007-12-10,1
2007-12-12,2008-01-11,31
2008-01-13,2008-01-13,1
2008-01-24,2008-02-06,14
2008-02-09,2008-02-09,1
2008-02-11,2008-02-24,14
2008-02-27,2008-03-05,8
2008-03-19,2008-03-19,1
2008-04-04,2008-04-04,1
2008-11-15,2008-12-04,20
2008-12-07,2008-12-08,2
2008-12-11,2009-01-21,42
2009-01-31,2009-02-02,3
2009-02-04,2009-02-08,5
2009-02-13,2009-02-14,2
2009-02-17,2009-02-17,1
2009-02-21,2009-02-21,1
2009-02-23,2009-02-26,4
2009-03-03,2009-03-07,5
2009-03-12,2009-03-16,5
2009-03-24,2009-03-24,1
2009-03-26,2009-03-29,4
2009-05-18,2009-05-18,1
2009-11-11,2009-11-11,1
2009-11-18,2009-11-20,3
2009-11-23,2009-11-24,2
2009-11-26,2009-11-27,2
2009-12-08,2009-12-08,1
2009-12-16,2009-12-24,9
2010-01-03,2010-01-13,11
2010-01-20,2010-01-21,2
2010-01-25,2010-02-02,9
2010-02-04,2010-02-04,1
2010-02-06,2010-02-10,5
2010-03-02,2010-03-02,1
2010-03-05,2010-03-05,1
2010-03-11,2010-03-11,1
2010-03-31,2010-03-31,1
2010-11-11,2010-11-11,1
2010-11-21,2010-11-21,1
2010-12-02,2010-12-07,6
2010-12-11,2010-12-11,1
2010-12-13,2010-12-26,14
2010-12-31,2011-01-31,32
2011-02-02,2011-02-06,5
2011-02-09,2011-02-19,11
2011-02-21,2011-02-22,2
2011-02-28,2011-03-03,4
2011-03-05,2011-03-05,1
2011-03-08,2011-03-13,6
2011-03-18,2011-03-18,1
2011-03-27,2011-03-29,3
2011-04-02,2011-04-02,1
2011-11-26,2011-11-27,2
2011-11-29,2011-11-29,1
2011-12-02,2011-12-03,2
2011-12-05,2011-12-16,12
2011-12-19,2012-02-01,45
2012-02-03,2012-02-13,11
2012-02-20,2012-02-23,4
2012-02-27,2012-03-02,5
2012-03-04,2012-03-08,5
2012-03-10,2012-03-10,1
2012-03-16,2012-03-23,8
2012-03-28,2012-03-28,1
2012-04-03,2012-04-04,2
2012-11-12,2012-11-12,1
2012-11-22,2012-11-22,1
2012-11-24,2012-11-26,3
2012-11-29,2012-12-04,6
2012-12-10,2012-12-14,5
2012-12-17,2012-12-17,1
2012-12-20,2012-12-22,3
2012-12-25,2013-01-07,14
2013-01-11,2013-01-18,8
2013-01-20,2013-01-25,6
2013-01-27,2013-01-28,2
2013-02-02,2013-02-12,11
2013-02-15,2013-02-28,14
2013-03-03,2013-03-03,1
2013-03-07,2013-03-07,1
2013-04-02,2013-04-02,1
2013-04-13,2013-04-13,1
2013-11-21,2013-11-23,3
2013-11-28,2013-12-04,7
2013-12-08,2013-12-12,5
2013-12-14,2014-01-27,45
2014-01-30,2014-01-31,2
2014-02-04,2014-02-25,22
2014-02-27,2014-02-28,2
2014-03-15,2014-03-16,2
2014-03-19,2014-03-19,1
2014-03-26,2014-03-27,2
2014-03-30,2014-03-30,1
2014-11-04,2014-11-04,1
2014-11-10,2014-11-10,1
2014-11-28,2014-11-28,1
2014-11-30,2014-11-30,1
2014-12-03,2015-02-09,69
2015-02-11,2015-02-20,10
2015-02-22,2015-02-24,3
2015-03-01,2015-03-02,2
2015-03-04,2015-03-04,1
2015-03-06,2015-03-06,1
2015-03-08,2015-03-09,2
2015-03-11,2015-03-12,2
2015-03-15,2015-03-16,2
2015-11-23,2015-11-26,4
2015-11-28,2015-11-28,1
2015-12-11,2015-12-18,8
2015-12-20,2016-02-26,69
2016-02-28,2016-02-29,2
2016-03-23,2016-03-23,1
2016-06-02,2016-06-02,1
2016-11-01,2016-11-01,1
2016-11-10,2016-11-11,2
2016-11-13,2016-11-16,4
2016-11-20,2016-11-20,1
2016-11-26,2016-11-26,1
2016-12-04,2016-12-13,10
2016-12-15,2017-01-24,41
2017-01-27,2017-01-29,3
2017-02-01,2017-02-08,8
2017-02-10,2017-02-12,3
2017-02-15,2017-02-16,2
2017-02-20,2017-02-20,1
2017-02-22,2017-02-26,5
2017-03-04,2017-03-10,7
2017-03-12,2017-03-14,3
2017-11-16,2017-11-17,2
2017-11-20,2017-11-24,5
2017-11-26,2017-11-27,2
2017-12-02,2018-02-14,75
2018-04-18,2018-04-18,1
2018-11-12,2018-11-12,1
2018-11-14,2018-11-14,1
2018-11-21,2018-11-26,6
2018-11-28,2018-12-01,4
2018-12-06,2018-12-07,2
2018-12-13,2018-12-15,3
2018-12-17,2018-12-29,13
2018-12-31,2019-01-13,14
2019-01-15,2019-01-15,1
2019-01-17,2019-01-27,11
2019-01-30,2019-02-20,22
2019-02-26,2019-02-26,1
2019-03-02,2019-03-04,3
2019-03-08,2019-03-15,8
2019-03-17,2019-03-23,7
2019-03-29,2019-03-29,1
2019-04-03,2019-04-03,1
2019-04-05,2019-04-05,1
2019-11-16,2019-11-16,1
2019-11-29,2019-11-29,1
2019-12-05,2019-12-08,4
2019-12-17,2020-01-04,19
2020-01-06,2020-01-07,2
2020-01-09,2020-01-25,17
2020-02-02,2020-02-02,1
2020-02-06,2020-02-17,12
2020-02-21,2020-03-06,15
2020-03-26,2020-03-26,1
2020-03-29,2020-03-30,2
2020-04-01,2020-04-02,2
2020-04-07,2020-04-07,1
2020-04-16,2020-04-16,1
2020-11-04,2020-11-04,1
2020-11-12,2020-11-13,2
2020-11-17,2020-11-25,9
2020-11-30,2020-12-07,8
2020-12-09,2020-12-31,23
2021-01-02,2021-02-16,46
2021-02-18,2021-03-12,23
2021-03-23,2021-03-23,1
2021-03-28,2021-03-30,3
2021-04-03,2021-04-04,2
2021-04-14,2021-04-14,1
2021-04-16,2021-04-17,2
2021-05-25,2021-05-25,1
2021-05-29,2021-05-31,3
2021-06-11,2021-06-11,1
2021-11-02,2021-11-02,1
2021-11-16,2021-11-16,1
2021-11-19,2021-11-27,9
2021-12-01,2021-12-01,1
2021-12-03,2021-12-25,23
2021-12-27,2022-01-12,17
2022-01-14,2022-01-15,2
2022-01-19,2022-02-28,41
2022-03-02,2022-03-02,1
2022-03-04,2022-03-07,4
2022-03-09,2022-03-10,2
2022-03-12,2022-03-21,10
2022-03-24,2022-03-24,1
2022-03-26,2022-03-28,3
2022-03-30,2022-04-01,3
2022-04-08,2022-04-09,2
2022-05-10,2022-05-10,1
2022-11-04,2022-11-04,1
2022-11-19,2022-11-19,1
2022-11-21,2022-11-21,1
2022-11-25,2022-11-27,3
2022-12-01,2022-12-07,7
2022-12-09,2022-12-11,3
2022-12-14,2023-02-26,75
2023-02-28,2023-02-28,1
2023-03-02,2023-03-07,6
2023-03-21,2023-03-22,2
2023-03-24,2023-03-24,1
2023-03-29,2023-03-29,1
2023-04-01,2023-04-01,1
2023-04-04,2023-04-09,6
2023-04-20,2023-04-20,1
2023-05-15,2023-05-15,1
2023-05-20,2023-05-20,1
2023-07-16,2023-07-16,1
2023-11-27,2023-11-27,1
2023-11-30,2023-12-01,2
2023-12-08,2023-12-14,7
2023-12-16,2024-01-31,47
2024-02-02,2024-02-16,15
2024-02-18,2024-02-27,10
2024-02-29,2024-03-06,7
2024-03-08,2024-03-10,3
2024-03-12,2024-03-23,12
2024-03-28,2024-03-30,3
2024-04-10,2024-04-11,2
2024-04-14,2024-04-14,1
2024-04-16,2024-04-17,2
2024-04-22,2024-04-23,2
2024-05-05,2024-05-08,4
2024-05-11,2024-05-11,1
2024-05-16,2024-05-16,1
2024-05-27,2024-05-27,1
2024-06-30,2024-06-30,1
2024-11-07,2024-11-09,3
2024-11-13,2024-11-14,2
2024-11-17,2024-11-19,3
2024-11-29,2024-12-31,33
