month,mean_rain,dry_days_pct,mean_runoff,flood_pixels
1,0.13495958,97.16129032258064,0.08469102,14919.110655737704
2,0.26179993,94.2008486562942,0.057488207,10605.012012012012
3,0.9449648,66.83870967741935,0.07838597,4778.969613259668
4,2.18699,27.46666666666667,0.18351473,2579.72503617945
5,3.0189657,12.903225806451612,0.29870608,2719.8022130013833
6,3.586948,6.4,0.36746216,1676.734693877551
7,4.5198455,1.806451612903226,0.4681182,1252.0125874125874
8,5.216132,1.2903225806451613,0.65662307,1893.7206703910615
9,4.356442,1.4666666666666666,0.66755295,2335.7158469945357
10,3.5644927,6.451612903225806,0.6717877,4946.499339498018
11,1.3408009,50.13333333333333,0.4211156,9604.050477489767
12,0.252148,94.06451612903226,0.16355133,14425.520156046814
