flood_date,flood_extent,spi_30d_before,rain_30d_before
2015-01-01,18121,,0.0
2015-01-02,33359,,0.0
2015-01-03,23094,,0.0
2015-01-04,26970,,0.0
2015-01-05,24733,,0.0
2015-01-06,24220,,0.0
2015-01-07,37130,,0.0
2015-01-08,17845,,0.0
2015-01-09,29863,,0.0
2015-01-10,11120,,0.0
2015-01-11,26116,,0.0
2015-01-12,20743,,0.0
2015-01-13,28490,,0.0
2015-01-14,33116,,0.0
2015-01-15,21309,,0.0
2015-01-16,36664,,0.0
2015-01-17,18999,,0.0
2015-01-18,32787,,0.0
2015-01-19,22764,,0.0
2015-01-20,29138,,0.0
2015-01-21,26719,,0.0
2015-01-22,21603,,0.0
2015-01-23,33144,,4.76837158203125e-07
2015-01-24,20243,,2.9087066650390625e-05
2015-01-25,34126,,2.9087066650390625e-05
2015-01-26,15125,,3.1948089599609375e-05
2015-01-27,25886,,3.1948089599609375e-05
2015-01-28,16923,,3.1948089599609375e-05
2015-01-29,21206,,3.1948089599609375e-05
2015-01-30,22451,,3.1948089599609375e-05
2015-01-31,20812,,3.1948089599609375e-05
2015-02-01,36080,,3.1948089599609375e-05
2015-02-02,21746,,3.1948089599609375e-05
2015-02-03,34835,,3.1948089599609375e-05
2015-02-04,25555,,3.1948089599609375e-05
2015-02-05,31509,,3.1948089599609375e-05
2015-02-06,28898,,3.1948089599609375e-05
2015-02-07,22206,,3.1948089599609375e-05
2015-02-08,27241,,3.1948089599609375e-05
2015-02-09,12662,,3.1948089599609375e-05
2015-02-10,16183,,3.1948089599609375e-05
2015-02-11,10648,,3.1948089599609375e-05
2015-02-12,15231,,3.2901763916015625e-05
2015-02-13,12709,,3.2901763916015625e-05
2015-02-14,11388,,3.2901763916015625e-05
2015-02-15,12005,1.0,3.2901763916015625e-05
2015-02-16,5361,1.0,3.2901763916015625e-05
2015-02-17,17708,1.0,3.2901763916015625e-05
2015-02-18,10824,1.0,3.337860107421875e-05
2015-02-19,25577,1.0,3.6716461181640625e-05
