year,flood_mean,flood_sum,flood_max,flood_days,ssd_dry_end,ssd_dry_duration,Uganda_dry_end,Uganda_dry_duration,NE DRC_dry_end,NE DRC_dry_duration,Ethiopia_dry_end,Ethiopia_dry_duration,West Kenya_dry_end,West Kenya_dry_duration,Sudan central_dry_end,Sudan central_dry_duration
2000,73.8952380952381,15518,705,210,2000-03-22,82,2000-02-02,8,2000-02-05,11,2000-03-07,67,2000-01-08,8,2000-04-14,105
2001,106.07380073800738,28746,713,271,2001-03-03,62,2001-03-04,7,2001-01-17,13,2001-03-05,21,2001-03-04,7,2001-05-26,146
2002,485.0372881355932,143086,8532,295,2002-02-26,51,2002-06-05,8,2002-01-23,16,2002-03-01,44,2002-02-08,9,2002-05-28,148
2003,1087.840782122905,389447,12203,358,2003-02-20,31,2003-01-17,9,2003-01-20,20,2003-02-21,25,2003-03-10,10,2003-05-27,147
2004,631.7050561797753,224887,7495,356,2004-02-28,35,2004-07-09,13,2004-02-11,18,2004-03-14,19,2004-02-15,8,2004-06-10,162
2005,1174.2785515320334,421566,8786,359,2005-02-25,56,2005-02-25,16,2005-01-22,22,2005-12-31,40,2005-02-24,15,2005-05-23,143
2006,2371.0700636942674,744516,26912,314,2006-02-21,52,2006-01-28,7,2006-12-19,11,2006-01-16,16,2006-02-12,11,2006-05-08,128
2007,3678.6235632183907,1280161,24701,348,2007-02-22,53,2007-04-08,9,2007-02-05,36,2007-12-31,36,2007-04-06,7,2007-04-28,118
2008,3692.868493150685,1347897,26301,365,2008-12-31,48,2008-04-08,6,2008-12-30,17,2008-03-13,51,2008-01-07,7,2008-04-20,111
2009,2697.8126721763088,979306,31414,363,2009-02-26,27,2009-01-16,8,2009-01-17,15,2009-01-20,20,2009-01-15,6,2009-06-08,159
2010,1498.0055248618785,542278,25185,362,2010-02-14,43,2010-12-20,7,2010-02-02,12,2010-01-21,19,2010-02-03,9,2010-06-03,154
2011,1035.856338028169,367729,12949,355,2011-02-25,56,2011-01-30,5,2011-12-15,21,2011-03-06,62,2011-03-04,11,2011-05-21,141
2012,1682.6117318435754,602375,18463,358,2012-02-16,47,2012-02-11,22,2012-01-31,31,2012-02-18,49,2012-02-12,23,2012-05-23,144
2013,2800.5238095238096,999787,22782,357,2013-03-09,38,2013-03-03,9,2013-12-31,18,2013-03-07,56,2013-03-05,12,2013-06-18,169
2014,4097.994413407821,1467082,33262,358,2014-03-02,61,2014-01-19,9,2014-01-24,24,2014-02-20,51,2014-03-04,6,2014-04-19,109
2015,4177.099447513812,1512110,37288,362,2015-02-25,56,2015-01-21,20,2015-01-28,28,2015-03-18,77,2015-03-18,17,2015-05-30,150
2016,1883.0886426592797,679795,17713,361,2016-03-07,67,2016-12-26,9,2016-02-16,47,2016-02-26,57,2016-12-27,11,2016-05-04,125
2017,1417.2853185595568,511640,28375,361,2017-03-15,74,2017-01-25,23,2017-12-29,27,2017-02-13,44,2017-01-26,12,2017-05-14,134
2018,1489.35989010989,542127,13966,364,2018-02-19,50,2018-02-07,12,2018-01-23,23,2018-02-18,49,2018-02-17,8,2018-05-26,146
2019,1415.3994490358127,513790,12557,363,2019-02-23,54,2019-03-24,10,2019-12-31,15,2019-02-20,51,2019-02-05,10,2019-05-27,147
2020,7457.061452513966,2669628,40943,358,2020-03-07,36,2020-01-25,6,2020-12-31,26,2020-12-31,31,2020-02-11,5,2020-06-08,160
2021,10888.002770083103,3930569,59479,361,2021-03-15,74,2021-06-27,6,2021-03-12,22,2021-02-20,50,2021-02-03,8,2021-05-03,123
2022,24622.704735376046,8839551,106819,359,2022-03-10,51,2022-01-13,10,2022-03-01,43,2022-02-27,40,2022-03-08,11,2022-06-27,178
2023,35225.303867403316,12751560,116215,362,2023-03-11,70,2023-02-21,12,2023-02-25,56,2023-03-07,66,2023-01-21,8,2023-06-03,154
2024,29330.021978021978,10676128,94465,364,2024-03-24,84,2024-07-04,10,2024-02-16,47,2024-12-31,33,2024-03-21,10,2024-07-11,193
