country,year,dry_start,dry_end,dry_duration
South Sudan,2000,2000-01-01,2000-03-22,82
South Sudan,2001,2001-01-01,2001-03-03,62
South Sudan,2002,2002-01-07,2002-02-26,51
South Sudan,2003,2003-01-21,2003-02-20,31
South Sudan,2004,2004-01-25,2004-02-28,35
South Sudan,2005,2005-01-01,2005-02-25,56
South Sudan,2006,2006-01-01,2006-02-21,52
South Sudan,2007,2007-01-01,2007-02-22,53
South Sudan,2008,2008-11-14,2008-12-31,48
South Sudan,2009,2009-01-31,2009-02-26,27
South Sudan,2010,2010-01-03,2010-02-14,43
South Sudan,2011,2011-01-01,2011-02-25,56
South Sudan,2012,2012-01-01,2012-02-16,47
South Sudan,2013,2013-01-31,2013-03-09,38
South Sudan,2014,2014-01-01,2014-03-02,61
South Sudan,2015,2015-01-01,2015-02-25,56
South Sudan,2016,2016-01-01,2016-03-07,67
South Sudan,2017,2017-01-01,2017-03-15,74
South Sudan,2018,2018-01-01,2018-02-19,50
South Sudan,2019,2019-01-01,2019-02-23,54
South Sudan,2020,2020-02-01,2020-03-07,36
South Sudan,2021,2021-01-01,2021-03-15,74
South Sudan,2022,2022-01-19,2022-03-10,51
South Sudan,2023,2023-01-01,2023-03-11,70
South Sudan,2024,2024-01-01,2024-03-24,84
Uganda,2000,2000-01-26,2000-02-02,8
Uganda,2001,2001-02-26,2001-03-04,7
Uganda,2002,2002-05-29,2002-06-05,8
Uganda,2003,2003-01-09,2003-01-17,9
Uganda,2004,2004-06-27,2004-07-09,13
Uganda,2005,2005-02-10,2005-02-25,16
Uganda,2006,2006-01-22,2006-01-28,7
Uganda,2007,2007-03-31,2007-04-08,9
Uganda,2008,2008-04-03,2008-04-08,6
Uganda,2009,2009-01-09,2009-01-16,8
Uganda,2010,2010-12-14,2010-12-20,7
Uganda,2011,2011-01-26,2011-01-30,5
Uganda,2012,2012-01-21,2012-02-11,22
Uganda,2013,2013-02-23,2013-03-03,9
Uganda,2014,2014-01-11,2014-01-19,9
Uganda,2015,2015-01-02,2015-01-21,20
Uganda,2016,2016-12-18,2016-12-26,9
Uganda,2017,2017-01-03,2017-01-25,23
Uganda,2018,2018-01-27,2018-02-07,12
Uganda,2019,2019-03-15,2019-03-24,10
Uganda,2020,2020-01-20,2020-01-25,6
Uganda,2021,2021-06-22,2021-06-27,6
Uganda,2022,2022-01-04,2022-01-13,10
Uganda,2023,2023-02-10,2023-02-21,12
Uganda,2024,2024-06-25,2024-07-04,10
NE DRC,2000,2000-01-26,2000-02-05,11
NE DRC,2001,2001-01-05,2001-01-17,13
NE DRC,2002,2002-01-08,2002-01-23,16
NE DRC,2003,2003-01-01,2003-01-20,20
NE DRC,2004,2004-01-25,2004-02-11,18
NE DRC,2005,2005-01-01,2005-01-22,22
NE DRC,2006,2006-12-09,2006-12-19,11
NE DRC,2007,2007-01-01,2007-02-05,36
NE DRC,2008,2008-12-14,2008-12-30,17
NE DRC,2009,2009-01-03,2009-01-17,15
