country,predictor,flood_metric,pearson_r,pearson_p,n_years
Uganda,dry_duration,flood_mean,-0.02369795141585771,0.9104753637865214,25
Uganda,dry_end_doy,flood_mean,-0.014022129423633622,0.946960424621047,25
Uganda,dry_duration,flood_sum,-0.021914492578115296,0.9171892555384892,25
Uganda,dry_end_doy,flood_sum,-0.01160075189689587,0.9561099092957753,25
Uganda,dry_duration,flood_max,0.008198123507220711,0.9689760440220887,25
Uganda,dry_end_doy,flood_max,-0.03844599476461687,0.8552252317994914,25
NE DRC,dry_duration,flood_mean,0.7610177304503551,1.0013250122815457e-05,25
NE DRC,dry_end_doy,flood_mean,-0.13792269653568712,0.5108843578143066,25
NE DRC,dry_duration,flood_sum,0.7616204753377877,9.758208182795427e-06,25
NE DRC,dry_end_doy,flood_sum,-0.13949981550212273,0.5060163219912013,25
NE DRC,dry_duration,flood_max,0.7333464192267652,3.0389435723047022e-05,25
NE DRC,dry_end_doy,flood_max,-0.08412073554717617,0.6893184039225043,25
Ethiopia,dry_duration,flood_mean,0.13804863667249567,0.5104947860610515,25
Ethiopia,dry_end_doy,flood_mean,0.2331667060456165,0.26199208600720386,25
Ethiopia,dry_duration,flood_sum,0.14003422431328622,0.5043719644701069,25
Ethiopia,dry_end_doy,flood_sum,0.2340549784869224,0.26012690856957393,25
Ethiopia,dry_duration,flood_max,0.12547778269645088,0.5500809575962069,25
Ethiopia,dry_end_doy,flood_max,0.15523281971190434,0.4587317958943066,25
West Kenya,dry_duration,flood_mean,-0.09595661850982455,0.64819197180461,25
West Kenya,dry_end_doy,flood_mean,-0.0501020125134053,0.812009898578232,25
West Kenya,dry_duration,flood_sum,-0.09557687786369141,0.6494968113627244,25
West Kenya,dry_end_doy,flood_sum,-0.04975542870379924,0.8132878406167331,25
West Kenya,dry_duration,flood_max,-0.0707690419086871,0.73675662909168,25
West Kenya,dry_end_doy,flood_max,-0.05944473792151049,0.7777468745522524,25
Sudan central,dry_duration,flood_mean,0.46904720425836444,0.018017169641327716,25
Sudan central,dry_end_doy,flood_mean,0.46904720425836444,0.018017169641327716,25
Sudan central,dry_duration,flood_sum,0.4704595857265488,0.01762711449502914,25
Sudan central,dry_end_doy,flood_sum,0.4704595857265488,0.01762711449502914,25
Sudan central,dry_duration,flood_max,0.43973778338884545,0.02783716739752063,25
Sudan central,dry_end_doy,flood_max,0.43973778338884545,0.02783716739752063,25
